用户主页url,用户名称,用户性别,ip地址,用户评论
https://space.bilibili.com/443916857,枕中塔菲柱,女,IP属地：江西,塔菲，为了你😨😨😨我变成狼人模样🐺🐺🐺为了你😱😱😱染上了疯狂🤡🤡🤡为了你😰😰😰穿上厚厚伪装💆🏼‍♀️💆🏼‍♀️💆🏼‍♀️为了你🤗🤗🤗换了心肠💀💀💀我们还能不能再见面🥺🥺🥺我在佛前苦苦求了几千年🙇‍♀️🙇‍♀️🙇‍♀️愿意用几世🥰🥰🥰换我们一世姻缘💞💞💞希望可以感动上天😭😭😭我们还能不能再见面🥺🥺🥺我在佛前苦苦求了几千年🙇‍♀️🙇‍♀️🙇‍♀️但我在跨过这座奈何桥前🎭🎭🎭
https://space.bilibili.com/107977712,真的不是居居,女,IP属地：江苏,抽象
https://space.bilibili.com/434162122,琦_Ginko,女,IP属地：河南,看了三天永雏塔菲，治好了我的蛋白质内耗
https://space.bilibili.com/484811618,那日风极盛,保密,IP属地：河南,没绷住
https://space.bilibili.com/1271329317,小希赛高w,保密,IP属地：马来西亚,不是啊 这超管连警告都没有一个 猪鼻吧
https://space.bilibili.com/1318912552,哭笑摸头拒战,男,IP属地：广东,超管也是除草剂
https://space.bilibili.com/1610632136,欧陆服务器第一男枪,男,IP属地：辽宁,超管正在疯狂制裁彩六玩家
https://space.bilibili.com/34767747,一拳打碎大司眼镜,保密,IP属地：广东,老头能把档调低点么？
https://space.bilibili.com/1862694692,爱猫少女佳代子,保密,IP属地：湖南,怎么放大了
https://space.bilibili.com/1574920178,不想魔怔,保密,IP属地：山东,怎么有一段被改了
https://space.bilibili.com/33022101,彼得帕克本蜘,男,IP属地：甘肃,"一秒，两秒。
嘴无意识地张大，轻吸着气，所有的惊艳化成嘴边细碎的喟叹。
太美了。精巧，纤美，无一处细节不做到还原与雅致。
这个视频带给我视觉上的享受与心灵中的感触实在颇深，就像晚餐后轻抿的一口干红，与天边的霞光齐色。
徬晚时分的绝色，夕阳为你红了脸。"
https://space.bilibili.com/474953601,C珈珈,女,IP属地：吉林,看v三天，塔菲加重了我的精神内耗。
https://space.bilibili.com/1141469422,贴吧用户_GbvP67U,保密,IP属地：广东,"快拔出来！😭快拔出来！😭她还要和我结婚呢😭😭快拔出来！😭快拔出来！快拔出来！😭快拔出来！求求你了😭😭
塔菲，你就准备背负一条年轻的生命吧😔🔪✊🩸"
https://space.bilibili.com/437940288,bili_437940288,男,IP属地：黑龙江,😭✊🎤💦
https://space.bilibili.com/404173682,氓之尤兮,保密,IP属地：四川,👴👴：看来你很爱她吗👅💧💧🖕💦💦🍆💦💦💦
https://space.bilibili.com/283822973,铜酸碳式碱,女,IP属地：北京,老头发力了[永雏塔菲_好热]
https://space.bilibili.com/8427617,嘉心大魔王,男,IP属地：上海,为什么我看什么视频最后都给我推荐这个[贝拉kira_贝式疑问]
https://space.bilibili.com/568187717,龙神之夜Da,女,IP属地：吉林,叔叔更新的新推荐机制喵
https://space.bilibili.com/308113897,这是一个比较长的名字,保密,IP属地：河南,换源了😭
https://space.bilibili.com/401391863,爱坤可达鸭,保密,IP属地：江苏,我说怎么现在视频有一部分和之前看的不一样
https://space.bilibili.com/18930374,-sszsyz-,女,IP属地：上海,哪天万象天引引到二桶瑟琴上你就寄了
https://space.bilibili.com/1188840713,gx--cqy,女,IP属地：广东,还有这种好事？
https://space.bilibili.com/450962992,安丘比在1944,男,IP属地：山东,BV1NS4y1b7U6
https://space.bilibili.com/3024478,露早么么公主,保密,IP属地：广东,【【眉山论道】圣塔菲研究出了普适规律？-哔哩哔哩】 https://b23.tv/uYGOGe9
https://space.bilibili.com/19884007,南风入弦丶l,保密,IP属地：贵州,对不起 我不应该在taffy直播的时候干这种事的 但是小菲实在太可爱 忍不住了[永雏塔菲_太好吃了]
https://space.bilibili.com/95428691,一只男賓,保密,IP属地：河南,扣大分
https://space.bilibili.com/19884007,南风入弦丶l,保密,IP属地：贵州,回复 @-OneLife- :[永雏塔菲_震惊]
https://space.bilibili.com/473269631,由我来葬送,保密,IP属地：山东,纯路人，这是她的直播特色吗？
https://space.bilibili.com/1188840713,gx--cqy,女,IP属地：广东,是的厂妹是这样
https://space.bilibili.com/288627746,-缘星-,男,IP属地：福建,是的，一点没错
https://space.bilibili.com/32918430,斗转参横,保密,IP属地：江苏,遥控器在我手上
https://space.bilibili.com/112017404,你是无法透析的梦丶,女,IP属地：广东,"https://b23.tv/jdPXchV
你还是和当年一样一点没变啊[大笑][大笑]"
https://space.bilibili.com/94535740,喵咪爱草莓,保密,IP属地：江西,这下有不得不看的理由了
https://space.bilibili.com/1138239604,镜子里镜子前,保密,IP属地：日本,这下更爱看了
https://space.bilibili.com/46081110,小急急急祥,女,IP属地：安徽,就看就看[doge]
https://space.bilibili.com/339826002,香港記者,男,IP属地：浙江,为什么现在老刷到这夹子视频
https://space.bilibili.com/544642378,吃了芹菜就会死掉,女,IP属地：辽宁,"问雏草姬一个问题😉
石头剪刀布倒过来怎么说😜
布刀剪头石吗🤔
雏草姬真迟钝🤭
不会用手比划一下吗🤭
🖐️✌️✊(520)
哦，知道了喵😮
那taffy再问你一遍😈
石头剪刀布倒过来怎么说🥰
布刀剪头石听懂了没喵😟
😭😭😭😭😭"
https://space.bilibili.com/544642378,吃了芹菜就会死掉,女,IP属地：辽宁,"小时候偷偷吃泡面🍜🤩👍
长大后偷偷吃泡面🍜😔
我怕父母知道😉☝
我怕父母知道😮🥣🔥
我现在特别喜欢一个人😝
我现在特别喜欢一个人🥒😞🥤
我朋友成群无话不说💃💃💃
我朋友成群无话…不说…🤐👭👭
我现在谁也看不上🤭
我现在谁也看不上…👁😶👁"
https://space.bilibili.com/544642378,吃了芹菜就会死掉,女,IP属地：辽宁,"石头✊剪刀✂️布✋你输了 要爱❤️taffy一辈子的喵😢
🤪石头剪刀布🤪
🤪石头剪刀布🤪
哈哈😆侦探菲赢辣😎
你可要爱侦探菲一辈子哦😃
那你也要爱1883菲一辈子哦，猜拳姐🤭👉😭"
https://space.bilibili.com/36896936,夜孤飞雪,保密,IP属地：四川,做俯卧撑的时候叫得这么凶？
https://space.bilibili.com/244960835,丧其身躯惑之甚矣,男,IP属地：湖北,额。。。稍微了解了一下vtb。。。感觉这东西也太棒了。。。了解了一下惊了，这不就相当于古希腊戏演员在表演摹拟剧一样吗？怪不得一群成年人还看得不亦乐乎。还能组织出同好会。我也是越来越看得懂这个世界了。。。我仿佛看到了一群名流盯着戏台上的演员欣喜的喝起了彩的样子。 【永雏塔菲_哈哈哈】
https://space.bilibili.com/333113957,猫雷家的小可莉,女,IP属地：广东,隐约感觉这场直播有跨时代的意义，小菲这模型简直就是对v圈的降维打击，这技术力感觉都能和天花板tx拼一下[嗑瓜子]遇事不决崩坏能，塔菲怕不是崩坏能驱动的吧，那这样v圈加起来都打不过星瞳[OK]
https://space.bilibili.com/154353317,陪星瞳到百万粉,保密,IP属地：山东,经典改不全[星瞳_钓鱼]
https://space.bilibili.com/101320504,青绿色杀人魔,女,IP属地：辽宁,字都改不全是吧[永雏塔菲_喵喵拳][永雏塔菲_喵喵拳]
https://space.bilibili.com/23446077,又耳ewd,男,IP属地：贵州,什么擦之律者
https://space.bilibili.com/546648417,隐疾讳彰,女,IP属地：上海,不守下路，三路被爆的东西
https://space.bilibili.com/14908810,猎杀时鱼,男,IP属地：山东,换源了，之前那个大象蹬腿没了[永雏塔菲_喵喵拳][永雏塔菲_喵喵拳]
https://space.bilibili.com/3546376048741135,AI沈阳美食家,保密,IP属地：美国,"笑点解析：这段视频的笑点主要来自于一系列滑稽可爱的对话和场景。其中包括小飞坐下就会抖的奇怪现象，父亲的安排被打乱，长辈脸红的搞笑表情，以及人们进桌子的滑稽情景等等。视频里的对话经常出现意想不到的转折和夸张的表达方式，让人忍不住发笑。整个视频充满了搞笑的节奏和情绪，让观看者欢乐不已。

令人忍俊不禁。
@刃没有你我怎么活啊 问的。"
https://space.bilibili.com/291519,客服M,男,IP属地：上海,进桌子，你干脆进局子算了。。[永雏塔菲_开派对咯]
https://space.bilibili.com/37778707,茶赛道高,男,IP属地：江苏,？？？？怎么跟我看得不一样了，我全景呢？？？？
https://space.bilibili.com/3144961,立场不明确,男,IP属地：浙江,和谐了；；
https://space.bilibili.com/11180527,我不是鲤鱼啦,保密,IP属地：云南,老头发力了[大哭]
https://space.bilibili.com/32841537,鹿笙簫默,男,IP属地：广东,居然改视频了喵[UP_1265680561_疑惑]
https://space.bilibili.com/142317958,海绵宝宝白圣女,保密,IP属地：湖南,疑似开银趴00:59
https://space.bilibili.com/448811693,绫酱单推人_,保密,IP属地：河南,疑似？确定！
https://space.bilibili.com/7823800,苏浅然_,男,IP属地：陕西,两眼一黑
https://space.bilibili.com/57749808,夜廻Haru,男,IP属地：广东,两眼一黑
https://space.bilibili.com/519300066,hhdp-,女,IP属地：浙江,抽象
https://space.bilibili.com/171309654,愚色幽默,保密,IP属地：山东,说实话塔菲关注数是越来越慢了
https://space.bilibili.com/385976051,阿希伯特风暴,保密,IP属地：天津,717之后关注增量腰斩了
https://space.bilibili.com/243828739,Rita-小雨桑,女,IP属地：河北,没有路人粉
https://space.bilibili.com/317026571,准时不早退的雨涵,保密,IP属地：上海,回复 @阿希伯特风暴 :确实，本来一天好几千的
https://space.bilibili.com/452649537,米卡莎大笨蛋,男,IP属地：广东,老头开始发力了
https://space.bilibili.com/538468102,雾里人儿,保密,IP属地：河北,感觉这主播要寄
https://space.bilibili.com/437757567,wfany66,男,IP属地：江苏,早就该了，少数语言传播者
https://space.bilibili.com/1463939145,冈部伦太朗,保密,IP属地：广西,谢谢，真的谢谢，你可能不知道这个视频给了我多大的勇气。我也上过大学，现在也是最好的年纪，但我真的很迷茫，前路就像是笼罩着一层巨大的烟幕。我想追梦，想过自已喜欢的生活，但这条路没有这么好走，也不像考公或找个稳定工作一样稳定“有钱途”。但我真的不想年纪轻轻就入土，我真的想拼一把，我想让自己以后老了不会觉得没年轻过，谢谢，真的谢谢，我想像永雏塔菲一样，不问来路，不记归途如，当最快乐的人。
https://space.bilibili.com/398603631,好睏zzz,保密,IP属地：河南,我刚刚在7岁儿童智力测试中获得59分，鉴定为轻度若知，一想到塔菲是唐😄太般配了
https://space.bilibili.com/85881409,丁真今晚吃什么,男,IP属地：新疆,哈哈我65
https://space.bilibili.com/114199526,aazyaa,男,IP属地：天津,taffy，俺是农村嘞，村里人都说俺精细，以前感觉没钱配不上你。俺可稀罕你，就给那风儿，吹过俺家地头。地里老红薯都知道俺稀罕你。真嘞！恁看见喽给俺回个话，谁欺负你我给他拼命！俺可喜欢你，嫁给俺吧。中不中？[永雏塔菲_亲嘴]
https://space.bilibili.com/22673974,孤独时代的小小方,男,IP属地：河北,俯卧撑那段太逆天了[UP_1265680561_啊啊]
https://space.bilibili.com/1160359176,霜剑兰陵王,男,IP属地：广东,今天我和塔菲去博物馆偷东西，被警察发现了，但是我们都没被抓，因为塔菲就是艺术品，而我在塔菲旁边也是易竖品😘
https://space.bilibili.com/603791,一沐o,保密,IP属地：浙江,没看过，有点好
https://space.bilibili.com/638130122,毒录zzz,男,IP属地：浙江,不是才刚刚出土？
https://space.bilibili.com/23020809,方魑魅,保密,IP属地：四川,广东加一分。
https://space.bilibili.com/287721928,姬路城城主,保密,IP属地：浙江,捏紧了拳头，憋红了脸
https://space.bilibili.com/166768073,境化痕,男,IP属地：北京,怕路被窝里所以捏住？
https://space.bilibili.com/1539698705,蒂雅の单推人,保密,IP属地：河北,成功从热水器转型少儿频道→_→
https://space.bilibili.com/446563488,卡か茨つ菈ら,女,IP属地：江西,禁止儿童色情
https://space.bilibili.com/127845619,落叶知易秋,男,IP属地：山东,转型还没成功呢 现在是儿童热水器[辣眼睛]
https://space.bilibili.com/264702707,暮色蒼然丶丶,保密,IP属地：四川,舍友还以为老子在看片
https://space.bilibili.com/395089892,-零刹-,女,IP属地：四川,老头把开关关了吧😭
https://space.bilibili.com/244882239,Next-View,保密,IP属地：北京,我哭死，她是真的会擦
https://space.bilibili.com/27996929,__夜星,男,IP属地：山西,[永雏塔菲_嘤嘤嘤][永雏塔菲_嘤嘤嘤]老头轻点
https://space.bilibili.com/355279119,夜の影深淵,保密,IP属地：福建,"记录人一个人播全身3D从满怀开心到崩溃的变化[永雏塔菲_嘤嘤嘤]
如果想要多看小菲就一键三连召唤小菲加班喵[永雏塔菲_闪亮登场]"
https://space.bilibili.com/325517422,Kaga修炼中,男,IP属地：湖北,[永雏塔菲_好热][永雏塔菲_好热][永雏塔菲_好热]
https://space.bilibili.com/344018023,晓烁gilo,男,IP属地：福建,[永雏塔菲_好热][永雏塔菲_好热][永雏塔菲_好热]
https://space.bilibili.com/8360214,Sev75,保密,IP属地：上海,[永雏塔菲_好热][永雏塔菲_好热][永雏塔菲_好热]
https://space.bilibili.com/293044436,别在路口等待卡车了,保密,IP属地：山东,[永雏塔菲_好热][永雏塔菲_好热][永雏塔菲_好热]
https://space.bilibili.com/2922511,星宮祈おにいちゃん,保密,IP属地：江苏,01:03
https://space.bilibili.com/226079877,一盘凉菜丶,保密,IP属地：广东,[永雏塔菲_令人兴奋]
https://space.bilibili.com/11391345,纠小白offical,男,IP属地：江西,老头👴🏻发力了是吧
https://space.bilibili.com/1982665301,Mower丶,男,IP属地：甘肃,[永雏塔菲_好热]
https://space.bilibili.com/333984695,冰棍好烫啊,女,IP属地：日本,这期视频的文案，真是👀几遍也👀不够的，愿称其为一种冷峻的幽默感🤗。看似置身事外淡淡地叙述，偶有玩笑话😊穿插其间，文字背后的情感却足以动人至落泪🤧。配合上几乎不加额外修饰的镜头画面，这部视频便不再是普通的视频🎞，更像是一部微缩的纪录片😇，一场时长极短的电影🎬，似乎有些乏善可陈😁，匆匆而过转眼就迎来结束😭，这又何其像是“普通人的一生”😋
https://space.bilibili.com/11845274,魔界楞荀文若,男,IP属地：江苏,视频又剪过了，做俯卧撑那里，放大了，更像热水器，已举办
https://space.bilibili.com/260731567,小草神拉大狙,保密,IP属地：重庆,坚决抵制儿童瑟琴喵
https://space.bilibili.com/88177283,Valerieky,男,IP属地：湖北,额。。。稍微了解了一下vtb。。。感觉这东西也太棒了。。。了解了一下惊了，这不就相当于古希腊戏演员在表演摹拟剧一样吗？怪不得一群成年人还看得不亦乐乎。还能组织出同好会。我也是越来越看得懂这个世界了。。。我仿佛看到了一群名流盯着戏台上的演员欣喜的喝起了彩的样子。 【永雏塔菲_哈哈哈】
https://space.bilibili.com/88177283,Valerieky,男,IP属地：湖北,[永雏塔菲_哈哈哈]
https://space.bilibili.com/515044196,明月本尊,男,IP属地：安徽,怀疑是唐氏
https://space.bilibili.com/178724617,纏鎏子,男,IP属地：河南,老头发力了
https://space.bilibili.com/27007071,Anloge,男,IP属地：辽宁,年底了我大菲3D呢[永雏塔菲_不理你了]
https://space.bilibili.com/246017494,汴梁小冉official,女,IP属地：江苏,删减了是吧
https://space.bilibili.com/190112015,友人A゚゚゚,保密,IP属地：江苏,这个v有啥黑料吗，我平时不关注v圈，只是最近老是被这个v刷屏，没有啥黑料我就关注了
https://space.bilibili.com/137133975,Realica,男,IP属地：新疆,？诺https://b23.tv/jdPXchV😋
https://space.bilibili.com/13649282,Gascoigne,男,IP属地：湖南,又不是来结婚的，想看就关注上之后不喜欢了拉黑不就完了
https://space.bilibili.com/354093343,轻孜星河,保密,IP属地：福建,没啥黑料，看塔菲打游戏挺有趣的
https://space.bilibili.com/161716534,短笛悟饭,男,IP属地：山西,真不管管？
https://space.bilibili.com/497934523,森音-,男,IP属地：内蒙古,笑死人了[偷笑]
https://space.bilibili.com/30682056,约战精灵情报处,保密,IP属地：上海,[笑哭]全程两眼一黑
https://space.bilibili.com/495747836,Ricardo_Luodi,男,IP属地：山东,you jb who？？
https://space.bilibili.com/211614326,乂xo,保密,IP属地：广东,公号私用是吧
https://space.bilibili.com/630789088,文宇今天吃哈姆,保密,IP属地：浙江,公号私用是吧
https://space.bilibili.com/1566976195,嘉然然然子,男,IP属地：浙江,老头别❌了，真要的话，能喊我名字吗[永雏塔菲_嘤嘤嘤]
https://space.bilibili.com/519609412,严选放铳,男,IP属地：安徽,老头喊你名字[嗑瓜子]
https://space.bilibili.com/255323486,ava-turbo-0613,保密,IP属地：广西,我喊你的
https://space.bilibili.com/174532912,佐久間眠,保密,IP属地：浙江,抖抖我的[永雏塔菲_好热][永雏塔菲_好热][永雏塔菲_好热]
https://space.bilibili.com/279596299,皇珈鬼武士,保密,IP属地：海南,可爱捏
